label,statement,cleaned_statement,label_encoded,binary_label
false,Not one of the 17 GOP candidates has discussed how theyd address the rising cost of college.,not one of the  gop candidates has discussed how theyd address the rising cost of college,1,0
mostly-true,State Sen. Alberta Darling voted to add more than $1 billion in additional spending while cutting programs such as education and health care,state sen alberta darling voted to add more than  billion in additional spending while cutting programs such as education and health care,3,1
half-true,"Were at the point of reaching 2 million deportations ...this is a historic level, more than any other president of the United States.",were at the point of reaching  million deportations this is a historic level more than any other president of the united states,2,1
false,If it werent for me (illegal immigration) wouldnt even be a big subject.,if it werent for me illegal immigration wouldnt even be a big subject,1,0
false,A $300 million stimulus allocation to Wisconsin has led to the creation of tens of thousands of jobs in every corner of this state.,a  million stimulus allocation to wisconsin has led to the creation of tens of thousands of jobs in every corner of this state,1,0
false,Langevin has been the most reliable vote for Speaker Pelosi.,langevin has been the most reliable vote for speaker pelosi,1,0
half-true,"Barack Obama ""extended health care for wounded troops who'd been neglected.""",barack obama extended health care for wounded troops whod been neglected,2,1
barely-true,"Says Mitt Romney was clear that he would not provide government assistance to the U.S. auto companies, even if they went through bankruptcy.",says mitt romney was clear that he would not provide government assistance to the us auto companies even if they went through bankruptcy,0,0
half-true,We rank 38th in wages. ... (Rick Scott) goes out around the country and advertises that to other states.,we rank th in wages  rick scott goes out around the country and advertises that to other states,2,1
false,"Obama ""supports hate-crimes expansion ... potentially putting churches at risk if they preach the truth about homosexuality.""",obama supports hatecrimes expansion  potentially putting churches at risk if they preach the truth about homosexuality,1,0
mostly-true,The Employee Free Choice Act mandates the elimination of the secret ballot.,the employee free choice act mandates the elimination of the secret ballot,3,1
half-true,"Our ranking in terms of the best and worst states to do business in was 43 four years ago, and we just moved up to 17 two weeks ago.",our ranking in terms of the best and worst states to do business in was  four years ago and we just moved up to  two weeks ago,2,1
half-true,"Says his reform efforts improved performance at all 10 low-performing schools in Palm Beach, Florida.",says his reform efforts improved performance at all  lowperforming schools in palm beach florida,2,1
